household_id,SAMPN,HH_ZONE_ID,HH_WEIGHT,HH_SIZE,HH_VEH,HH_WORKERS
1568,1568,464,,3,1,2
1569,1569,464,,1,2,1
1571,1571,467,,2,1,1
1572,1572,467,,3,0,1
1573,1573,467,,3,1,1
1574,1574,467,,4,2,1
1575,1575,467,,1,1,1
1578,1578,465,,5,2,2
1579,1579,465,,3,1,2
1580,1580,465,,2,2,1
1581,1581,465,,6,2,4
1582,1582,465,,5,3,2
1583,1583,467,,4,2,2
1584,1584,467,,2,1,2
1585,1585,467,,2,2,1
1586,1586,467,,2,1,1
1587,1587,467,,3,1,1
1588,1588,465,,3,1,1
1589,1589,465,,4,1,2
1590,1590,465,,4,2,1
1591,1591,465,,4,2,3
1592,1592,465,,2,1,2
1593,1593,465,,3,1,1
1594,1594,465,,4,2,1
1595,1595,467,,4,1,1
1596,1596,467,,5,1,1
1597,1597,466,,5,1,4
1598,1598,465,,4,3,3
1599,1599,465,,1,3,1
1601,1601,465,,4,2,1
1602,1602,464,,4,1,2
1603,1603,464,,1,1,1
1604,1604,464,,4,1,3
1605,1605,465,,3,2,2
1606,1606,465,,1,2,1
1608,1608,465,,6,2,4
1609,1609,465,,3,4,2
1610,1610,822,,3,2,2
1611,1611,823,,2,2,2
1612,1612,823,,1,2,1
1613,1613,823,,1,1,1
1615,1615,1355,,3,2,1
1616,1616,1355,,1,2,1
1617,1617,1355,,2,2,2
1618,1618,822,,5,1,5
1619,1619,822,,3,0,3
1620,1620,822,,5,1,5
1621,1621,822,,2,0,2
1622,1622,823,,2,2,2
1623,1623,823,,1,1,1
1625,1625,1355,,1,1,1
1626,1626,1355,,2,1,2
1627,1627,1355,,4,1,4
1628,1628,822,,3,2,3
1629,1629,822,,3,2,1
1630,1630,822,,2,1,2
1631,1631,1355,,3,1,3
1632,1632,1355,,1,0,1
1633,1633,1355,,1,0,1
1635,1635,1355,,2,1,2
1636,1636,1355,,2,1,2
1637,1637,1355,,2,0,2
1638,1638,822,,2,2,2
1639,1639,822,,3,0,3
1640,1640,822,,2,2,1
1641,1641,823,,2,1,1
1642,1642,823,,1,2,1
1643,1643,1355,,3,1,1
1644,1644,1355,,5,3,1
1645,1645,1355,,3,1,1
1646,1646,1355,,2,2,1
1647,1647,1355,,3,1,3
1648,1648,1355,,1,1,1
1649,1649,1355,,1,1,1
1650,1650,1355,,3,0,2
1651,1651,1355,,4,1,2
1652,1652,1355,,1,3,1
1654,1654,1355,,3,1,2
1655,1655,1355,,1,2,1
1657,1657,1355,,2,2,1
1658,1658,969,,4,1,4
1659,1659,1355,,2,0,1
1660,1660,1355,,1,2,1
1661,1661,1355,,4,1,1
1662,1662,1355,,2,1,1
1663,1663,1355,,1,1,1
1666,1666,1355,,2,2,2
1667,1667,1355,,1,2,1
1668,1668,1355,,1,0,1
1670,1670,1355,,1,1,1
1671,1671,1355,,1,1,1
1672,1672,1355,,1,1,1
1674,1674,1368,,3,3,1
1675,1675,1370,,4,2,2
1676,1676,1370,,5,2,2
1677,1677,1370,,5,1,1
1678,1678,750,,4,2,1
1679,1679,750,,4,2,1
1680,1680,750,,4,2,1
1681,1681,750,,3,2,1
1682,1682,1370,,4,2,2
1683,1683,1370,,7,2,1
1684,1684,1370,,1,2,1
1686,1686,750,,1,2,1
1688,1688,1370,,6,2,1
1689,1689,1370,,2,3,1
1690,1690,1370,,4,2,2
1691,1691,1370,,4,3,1
1692,1692,1370,,1,2,1
1694,1694,1370,,2,1,2
1695,1695,1370,,2,2,2
1696,1696,1370,,2,2,1
1697,1697,1370,,3,2,2
1698,1698,1370,,4,2,2
1699,1699,1370,,2,2,1
1700,1700,1370,,4,1,1
1701,1701,1370,,7,2,1
1702,1702,1370,,1,2,1
1704,1704,1370,,3,2,2
1705,1705,1370,,4,3,2
1706,1706,1370,,4,2,1
1707,1707,1370,,4,2,1
1708,1708,1370,,4,3,2
1709,1709,1370,,4,1,1
1710,1710,823,,3,2,1
1711,1711,823,,2,0,2
1712,1712,823,,3,1,2
1713,1713,823,,2,1,1
1714,1714,608,,4,2,1
1715,1715,608,,1,3,1
1717,1717,608,,1,2,1
1719,1719,811,,1,0,1
1721,1721,1355,,2,2,2
1722,1722,811,,2,2,1
1723,1723,799,,2,0,2
1724,1724,799,,1,2,1
1726,1726,799,,2,2,1
1727,1727,799,,4,1,2
1728,1728,799,,1,2,1
1730,1730,799,,1,2,1
1733,1733,799,,5,1,2
1734,1734,799,,1,2,1
1736,1736,799,,2,1,2
1737,1737,799,,4,2,1
1738,1738,608,,2,2,1
1739,1739,608,,5,1,1
1740,1740,608,,4,3,2
1741,1741,608,,5,2,4
1742,1742,608,,5,4,1
1743,1743,799,,2,2,2
1744,1744,799,,5,1,4
1745,1745,799,,3,3,1
1746,1746,799,,5,1,1
1747,1747,803,,1,0,1
1749,1749,799,,1,1,1
1750,1750,817,,5,0,2
